Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
PL;Smolary Bytnickie;Smolary Bytnickie;52.172222, 15.206667000000001;O3;GIOS;µg/m³;35.4711;2023-06-15T09:00:00+10:00;Poland
BE;Brussels-Capital Region;BETMEU1;50.895101, 4.392718;NO2;EEA Belgium;µg/m³;23.0;2023-08-10T08:00:00+10:00;Belgium
CL;Talca;Universidad de Talca;-35.406582744695, -71.633396474869;PM2.5;Chile - SINCA;µg/m³;52.0;2023-08-10T09:00:00+10:00;Chile
FR;Eure-et-Loir;FR34046;48.7314125600919, 1.36388514642015;NO;EEA France;µg/m³;0.1;2023-08-10T07:00:00+10:00;France
BG;Шумен;BG0038A;43.268206, 26.938439;SO2;EEA Bulgaria;µg/m³;1.76;2023-08-10T05:00:00+10:00;Bulgaria
TR;Balıkesir;Balıkesir - Bandırma-MTHM;40.348103, 27.97499;SO2;Turkiye;µg/m³;53.487;2023-05-31T10:00:00+10:00;Turkey
IL;;תחנה:ספרא;32.8226, 34.9651;NO2;Israel;ppm;0.0318;2019-04-04T07:00:00+10:00;Israel
CZ;Středočeský;CZ0SBER;49.9579277038574, 14.0583000183105;NO;EEA Czech Republic;µg/m³;2.1;2023-08-10T08:00:00+10:00;Czech Republic
IN;;Sector-D Industrial Area, Mandideep - MPPCB;23.10844, 77.51142800000001;PM10;caaqm;µg/m³;350.0;2022-10-31T12:00:00+10:00;India
NL;Cabauw;Cabauw-Wielsekade;51.9745, 4.9233;PM2.5;Netherlands;µg/m³;9.0136;2023-08-10T09:00:00+10:00;Netherlands
FR;Pyrénées-Atlantiques;FR31013;43.3108061209975, -0.39111120334581;PM2.5;EEA France;µg/m³;4.5;2023-08-10T07:00:00+10:00;France
ZA;City of Tshwane;Tshwane Market;-25.740247, 28.170315;NO2;South Africa;ppm;0.005269;2023-05-31T06:00:00+10:00;South Africa
TH;Rayong;Huai Pong, Mueang;;SO2;Thailand;ppm;0.001;2018-09-25T12:00:00+10:00;Thailand
AU;Tasmania Region;West Ulverstone;-41.159, 146.146;PM2.5;Australia - Tasmania;µg/m³;0.0;2023-08-09T19:24:07+10:00;Australia
DE;Brandenburg;DEBB053;52.563835, 14.015252;NO;EEA Germany;µg/m³;1.0;2023-07-13T15:00:00+10:00;Germany
IN;;D M Colony, Bihar Sharif - BSPCB;25.204762, 85.51495999999999;PM2.5;caaqm;µg/m³;101.0;2022-10-31T11:45:00+10:00;India
IN;;BTM Layout, Bengaluru - CPCB;12.9135218, 77.59508040000001;NO2;caaqm;µg/m³;15.58;2022-10-17T02:00:00+10:00;India
ZA;Gert Sibande;Embalenhle;-26.551427, 29.112381;SO2;South Africa;ppm;0.007443;2023-04-25T21:00:00+10:00;South Africa
ES;Alicante/Alacant;ES1624A;38.2422222194777, -0.68277777;O3;EEA Spain;µg/m³;55.0;2023-08-10T07:00:00+10:00;Spain
IN;;Chhoti Gwaltoli, Indore - MPPCB;22.719444, 75.870278;NO2;caaqm;µg/m³;37.3;2020-01-06T19:15:00+10:00;India
US;Jackson;Hinds CC;32.346734, -90.225762;O3;AirNow;ppm;0.054;2023-05-31T09:00:00+10:00;United States
TR;Düzce;Düzce - Bahçeşehir;40.860818, 31.229429;O3;Turkiye;µg/m³;51.88;2023-05-31T10:00:00+10:00;Turkey
ES;Bizkaia;ES1490A;43.1722222194642, -2.63583333;O3;EEA Spain;µg/m³;104.0;2023-08-10T07:00:00+10:00;Spain
ZA;Nkangala;Hendrina - SAWS;-26.151197, 29.716484;PM10;South Africa;µg/m³;5.993;2023-05-31T09:00:00+10:00;South Africa
CO;Medellin;MED-VILL - Medellín, Villahermosa - Planta de producción de agua potable EPM;6.2589092, -75.5482635;PM2.5;Medellin;µg/m³;20.2708;2023-08-09T22:00:00+10:00;Colombia
US;GARFIELD;Pomeroy-Pataha St;46.474438, -117.614764;PM2.5;AirNow;µg/m³;3.0;2023-05-31T09:00:00+10:00;United States
PT;Coimbra;PT02016;40.206944, -8.410833;O3;EEA Portugal;µg/m³;42.0;2023-06-15T15:00:00+10:00;Portugal
TR;Zonguldak;Zonguldak - Kozlu;41.449829, 31.769504;CO;Turkiye;µg/m³;355.383;2023-05-31T10:00:00+10:00;Turkey
US;Pendleton-Hermiston;Hermiston - Municipa;45.828968, -119.262991;O3;AirNow;ppm;0.058;2023-05-31T09:00:00+10:00;United States
NI;;Lagos;6.440483, 3.406815;PM2.5;AirNow;µg/m³;22.6;2023-05-30T17:00:00+10:00;Nicaragua
CZ;Ústecký;CZ0UULM;50.6610946655273, 14.0430631637573;O3;EEA Czech Republic;µg/m³;9.0;2020-03-01T10:00:00+10:00;Czech Republic
US;Detroit-Warren-Livonia;DETROIT-SW;42.3042, -83.1072;SO2;AirNow;ppm;0.0027;2023-05-31T06:00:00+10:00;United States
GB;Cambridge;Cambridge Roadside;52.20237, 0.124456;NO2;DEFRA;µg/m³;18.0;2023-08-10T10:00:00+10:00;United Kingdom
ES;Araba/Álava;ES1502A;42.8547222194646, -2.68055555;CO;EEA Spain;µg/m³;340.0;2023-08-10T07:00:00+10:00;Spain
FR;;FR07032;45.8941939994635, 3.115056;NO2;EEA France;µg/m³;6.68;2018-08-23T22:00:00+10:00;France
TR;Kırıkkale;Kırıkkale;39.843184654638, 33.5181009862884;NO2;Turkiye;µg/m³;30.816;2022-12-29T19:00:00+10:00;Turkey
GR;ΔΥΤΙΚΗ ΕΛΛΑΔΑ;GR0048A;38.24597549, 21.73589706;NO;EEA Greece;µg/m³;12.0;2023-06-12T17:00:00+10:00;Greece
ZA;Dr Kenneth Kaunda;Khuma;-26.854713, 26.846664;NOX;South Africa;ppm;0.007881;2023-05-31T04:00:00+10:00;South Africa
DE;Niedersachsen;DENI063;53.52418, 9.68503;NO2;EEA Germany;µg/m³;5.30378;2023-08-10T07:00:00+10:00;Germany
IN;;Sector 22, Chandigarh - CPCC;30.735567, 76.775714;NO2;caaqm;µg/m³;71.7;2022-10-31T11:45:00+10:00;India
AT;;AT60137;47.0591699994646, 15.016667;NO2;EEA Austria;µg/m³;0.0;2021-12-31T09:00:00+10:00;Austria
US;Evansville;BASKETT;37.8714, -87.4633;PM2.5;AirNow;µg/m³;23.5;2019-03-02T00:00:00+10:00;United States
MK;Aerodrom Municipality;MK0031A;41.978329999466, 21.47;CO;EEA Macedonia;µg/m³;315.52000000000004;2023-08-10T08:00:00+10:00;Macedonia, The former Yugoslav Rep. of
TH;Loei;60th Anniversary Queen Sirikit Public Park, Loei;17.48462, 101.732734;SO2;Air4Thai;ppm;0.001;2023-05-31T10:00:00+10:00;Thailand
PL;Bielsko-Biała;Bielsko-Biała, ul. Kossak-Szczuckiej;49.813464, 19.027318;PM10;GIOS;µg/m³;20.9032;2023-06-15T08:00:00+10:00;Poland
FR;;FR15017;45.1904389994632, 5.686964;PM10;EEA France;µg/m³;13.08;2018-02-13T17:00:00+10:00;France
GB;Lewisham;Lewisham - Honor Oak Park;51.4496728960354, -0.0374153592115306;NO2;London Air Quality Network;µg/m³;13.3;2023-08-10T10:00:00+10:00;United Kingdom
IN;;Railway Colony, Guwahati - PCBA;26.181741999999996, 91.78062999999999;PM10;caaqm;µg/m³;42.0;2022-10-31T11:45:00+10:00;India
US;New York-Northern New Jersey-Long Island;Maspeth;40.7269, -73.8933;PM2.5;AirNow;µg/m³;8.1;2023-05-31T09:00:00+10:00;United States
BR;Paulínia-Sta Terezinha;Paulínia-Sta Terezinha;-22.780208950215425, -47.139036494729396;SO2;Sao Paulo CETESB;µg/m³;13.0;2023-04-06T01:00:00+10:00;Brazil
MX;Chihuahua;SUR;28.632775000000002, -106.03886694443999;CO;Sinaica Mexico;ppm;1.06;2023-08-10T06:00:00+10:00;Mexico
CA;SASKATCHEWAN;Saskatoon;52.136055, -106.662796;NO2;AirNow;ppm;0.003;2023-08-10T09:00:00+10:00;Canada
ZA;Namakwa;Karoo-NAQI;-31.398641, 19.140214;PM2.5;South Africa;µg/m³;2.333;2023-05-31T06:00:00+10:00;South Africa
AU;St Albans;St Albans;-37.75079, 144.827255;PM2.5;Australia - Victoria;µg/m³;8.65;2023-04-05T07:00:00+10:00;Australia
US;Philadelphia-Camden-Wilmington;New Garden;39.8344, -75.7678;PM2.5;AirNow;µg/m³;9.7;2023-05-31T09:00:00+10:00;United States
FR;;Vienne Centre;45.5259808277432, 4.875408575196197;PM10;EEA France;µg/m³;53.75;2016-12-05T11:00:00+10:00;France
MX;;Parque La Esperanza;25.571916666667004, -103.49780555555999;CO;Sinaica Mexico;ppm;13.989;2023-04-03T04:00:00+10:00;Mexico
TW;苗栗縣;Miaoli;24.565269, 120.8202;PM2.5;Taiwan;µg/m³;10.0;2021-05-17T15:00:00+10:00;Taiwan, China
ZA;Buffalo City Metro;Zwelitsha;-32.88, 27.4;NOX;South Africa;ppm;0.01626;2023-03-30T12:00:00+10:00;South Africa
US;Las Vegas-Paradise;GreenValley;36.048705, -115.052942;O3;AirNow;ppm;0.055;2023-05-31T09:00:00+10:00;United States
IN;;Khadakpada, Kalyan - MPCB;19.25292, 73.142019;PM10;caaqm;µg/m³;985.0;2022-10-31T11:45:00+10:00;India
ES;Lugo;ES1285A;43.5361111094638, -7.74027777;PM10;EEA Spain;µg/m³;17.0;2023-08-10T07:00:00+10:00;Spain
FR;Cher;FR34032;47.0828022774875, 2.40532900475843;PM10;EEA France;µg/m³;8.3;2023-08-10T07:00:00+10:00;France
ES;Bizkaia;ES0587A;43.320833329464, -3.11305555;SO2;EEA Spain;µg/m³;3.0;2023-08-10T06:00:00+10:00;Spain
ZA;City of Johannesburg;Diepkloof-NAQI;-26.250733, 27.9564167;CO;South Africa;ppm;2.589;2023-05-26T06:00:00+10:00;South Africa
US;BROWN;Aberdeen;45.468596, -98.494061;PM2.5;AirNow;µg/m³;8.6;2023-05-31T09:00:00+10:00;United States
DE;Baden-Württemberg;DEBW076;48.773072, 8.220214;PM2.5;EEA Germany;µg/m³;8.0;2023-07-14T20:00:00+10:00;Germany
ES;Granada;ES1924A;37.1656799994827, -3.6001;PM2.5;EEA Spain;µg/m³;22.14;2023-08-10T07:00:00+10:00;Spain
AU;;Cann River;-37.5647, 149.152313;PM10;Australia - Victoria;µg/m³;23.2;2020-01-20T11:00:00+10:00;Australia
FR;Eure;FR25039;49.0213216111601, 1.14831642768998;SO2;EEA France;µg/m³;5.25;2016-12-06T03:00:00+10:00;France
FR;Bouches-du-Rhône;FR03029;43.5302972250095, 5.44138313680286;NO;EEA France;µg/m³;0.5;2023-08-10T07:00:00+10:00;France
IN;;Asansol Court Area, Asansol - WBPCB;23.685297, 86.945968;O3;caaqm;µg/m³;59.97;2022-10-31T11:45:00+10:00;India
US;Bay City;BAY CITY;43.5714, -83.8908;PM2.5;AirNow;µg/m³;13.9;2023-05-31T06:00:00+10:00;United States
ES;Zaragoza;ES2064A;41.6591699994666, -0.9068000000000002;O3;EEA Spain;µg/m³;43.59;2023-08-10T07:00:00+10:00;Spain
US;Cheyenne;Cheyenne NCore;41.18222, -104.778336;CO;AirNow;ppm;0.3;2023-05-30T18:00:00+10:00;United States
US;San Francisco-Oakland-Fremont;Bethel Island;38.006311, -121.641918;O3;AirNow;ppm;0.043;2023-05-31T09:00:00+10:00;United States
US;OKANOGAN;Twisp-Ewell St;48.354124, -120.105116;PM2.5;AirNow;µg/m³;4.0;2023-05-31T09:00:00+10:00;United States
AU;Central Coast;Wyong;-32.195, 150.6736111;O3;Australia - New South Wales;ppm;0.019;2022-11-23T09:00:00+10:00;Australia
TR;Edirne;Edirne - Karaağaç-MTHM;41.65914, 26.53732;O3;Turkiye;µg/m³;53.865;2023-04-27T21:00:00+10:00;Turkey
AT;Niederösterreich;AT30599;48.3082222194669, 16.3279444;NO2;EEA Austria;µg/m³;14.43778991;2023-08-10T04:00:00+10:00;Austria
TR;İstanbul;İstanbul - Şile-MTHM;41.17046, 29.56336;SO2;Turkiye;µg/m³;61.762;2023-05-31T10:00:00+10:00;Turkey
PL;Dąbrowa Górnicza;Dąbrowa Górnicza, ul. Tysiąclecia;50.329111000000005, 19.231222;O3;GIOS;µg/m³;20.9211;2023-06-15T09:00:00+10:00;Poland
ZA;Sedibeng;Randwater;-26.68674, 28.008496;SO2;South Africa;ppm;0.002838;2023-05-30T07:00:00+10:00;South Africa
ES;Castellón/Castelló;ES1687A;40.0622222194709, 0.07277777;CO;EEA Spain;µg/m³;100.0;2023-08-10T07:00:00+10:00;Spain
GB;Leicester;Leicester A594 Roadside;52.638677, -1.124228;PM10;DEFRA;µg/m³;14.0;2023-08-10T10:00:00+10:00;United Kingdom
BA;;Otoka;43.848, 18.364;O3;Bosnia;µg/m³;3.0;2018-10-14T07:00:00+10:00;Bosnia and Herzegovina
TH;Mukdahan;Mukdahan Provincial Stadium;16.54257, 104.7192;NO2;Air4Thai;ppm;0.004;2022-08-04T02:00:00+10:00;Thailand
IN;;Buddhi Vihar, Moradabad - UPPCB;28.83526, 78.7446;PM2.5;caaqm;µg/m³;83.25;2022-10-17T02:00:00+10:00;India
US;Riverton;Lander SLAMS;42.842227, -108.735562;PM2.5;AirNow;µg/m³;15.7;2023-05-31T01:00:00+10:00;United States
HK;Eastern;Eastern;22.2827777777778, 114.219444444444;O3;Hong Kong;µg/m³;77.7;2023-05-31T10:00:00+10:00;Hong Kong, China
PL;Guty Duże;Guty Duże;52.94317199999999, 21.288167;SO2;GIOS;µg/m³;0.54;2023-06-15T09:00:00+10:00;Poland
AT;;Masenberg;47.34804458518832, 15.881944728647904;O3;EEA Austria;µg/m³;66.0;2016-12-12T19:00:00+10:00;Austria
TR;İzmir;İzmir - Aliağa;38.794827, 26.964669;O3;Turkiye;µg/m³;36.358;2023-05-31T10:00:00+10:00;Turkey
IL;;תחנה:אנטוקולסקי;32.47699, 35.086000000000006;CO;Israel;ppm;0.4;2019-03-24T08:00:00+10:00;Israel
FR;Moselle;FR01064;49.1250708052828, 6.18121763849802;NO2;EEA France;µg/m³;22.6;2023-08-10T06:00:00+10:00;France
TH;Chiang Mai;Tha Kham Municipality Office;18.202222, 98.597222;PM2.5;Air4Thai;µg/m³;20.0;2023-05-31T10:00:00+10:00;Thailand
CA;ONTARIO;Sudbury;46.491941, -81.003105;O3;AirNow;ppm;0.044;2023-08-10T09:00:00+10:00;Canada
DE;Baden-Württemberg;DEBW147;48.48933, 9.21079;CO;EEA Germany;µg/m³;400.0;2023-07-14T20:00:00+10:00;Germany
AU;;Albion Park Sth;-34.5805556, 150.7816667;PM2.5;Australia - New South Wales;µg/m³;0.0;2021-09-14T11:00:00+10:00;Australia
NL;;Pernis-Soetemanweg;51.8879, 4.38881;NO2;Netherlands;µg/m³;-995.0;2016-03-24T00:00:00+10:00;Netherlands
FR;Yvelines;FR04063;48.9963966322102, 1.70329561021902;O3;EEA France;µg/m³;54.1;2023-08-10T07:00:00+10:00;France
GB;Windsor and Maidenhead;Windsor and Maidenhead - Aldebury Road;51.5363854087616, -0.725480414494953;NO2;London Air Quality Network;µg/m³;11.4;2023-08-10T10:00:00+10:00;United Kingdom
US;Bishop;NCORE - Bishop;37.360701, -118.330835;PM2.5;AirNow;µg/m³;21.2;2023-05-28T20:00:00+10:00;United States
GB;Monaghan;IE0090A;54.066111, -6.883056;NO2;EEA Ireland;µg/m³;10.16;2023-08-10T08:00:00+10:00;United Kingdom
CZ;Plzeňský;CZ0PPLA;49.73244857788091, 13.402280807495101;O3;EEA Czech Republic;µg/m³;46.1;2023-08-10T08:00:00+10:00;Czech Republic
IN;;Hebbal 1st Stage, Mysuru - KSPCB;12.3511441, 76.6249171;NO2;caaqm;µg/m³;10.38;2020-01-03T21:15:00+10:00;India
ZA;City of Johannesburg;Diepkloof-NAQI;-26.250733, 27.9564167;CO;South Africa;ppm;0.62;2023-05-31T06:00:00+10:00;South Africa
AT;Steiermark;AT60189;47.3602777772429, 13.6394444444444;O3;EEA Austria;µg/m³;73.052;2023-08-10T04:00:00+10:00;Austria
MX;Tuxpan;Clínica Hospital ISSSTE;20.952583333333, -97.45050000000002;PM2.5;Sinaica Mexico;µg/m³;6.0;2023-06-05T04:00:00+10:00;Mexico
US;Riverside-San Bernardino-Ontario;Fontana - Arrow High;34.100132, -117.491982;SO2;AirNow;ppm;0.0001;2023-05-31T09:00:00+10:00;United States
ES;Asturias;ES1572A;43.3726749994639, -5.872796999999999;PM10;EEA Spain;µg/m³;22.0;2023-08-10T06:00:00+10:00;Spain
IN;;R K Puram, New Delhi - DPCC;28.5646102, 77.1670103;NO2;caaqm;µg/m³;81.4;2018-05-07T05:30:00+10:00;India
BE;Liege;BETM204;50.6119227069516, 5.61114976281943;PM2.5;EEA Belgium;µg/m³;3.1365;2023-08-10T08:00:00+10:00;Belgium
IN;;Borivali East, Mumbai - MPCB;19.2243333, 72.8658113;NO2;caaqm;µg/m³;11.5;2022-10-31T12:00:00+10:00;India
FR;;FR12045;43.09499699946431, -0.051944;NO2;EEA France;µg/m³;5.9;2020-06-10T17:00:00+10:00;France
TR;Kastamonu;TR;41.4743001448632, 33.4638634726325;NO2;Turkiye;µg/m³;36.894;2022-11-04T20:00:00+10:00;Turkey
IN;;Padmapukur, Howrah - WBPCB;22.5687319, 88.2797276;PM10;caaqm;µg/m³;66.6;2022-10-31T11:45:00+10:00;India
IT;Roma;Cavaliere;41.929383, 12.658363;PM2.5;ARPALAZIO;µg/m³;8.0;2023-08-07T10:00:00+10:00;Italy
CL;Freirina;SM8;-28.507409284386, -71.081571711987;SO2;Chile - SINCA;µg/m³;14.52;2023-08-10T08:00:00+10:00;Chile
AU;Sydney South-west;Bargo;-34.3075, 150.58;O3;Australia - New South Wales;ppm;0.018;2022-11-23T09:00:00+10:00;Australia
BE;Antwerpen;BETR801;51.209663, 4.431821;NO2;EEA Belgium;µg/m³;22.5;2023-08-10T08:00:00+10:00;Belgium
IN;;Zero Point GICI, Gangtok - SSPCB;27.338529999999995, 88.614099;NO2;caaqm;µg/m³;3.15;2022-10-31T11:45:00+10:00;India
IT;Latina;IT0869A;41.463889, 12.913056;O3;EEA Italy;µg/m³;83.0;2023-08-10T07:00:00+10:00;Italy
TR;Osmaniye;Osmaniye - Kadirli;37.3688149017282, 36.094848474988;NO2;Turkiye;µg/m³;25.722;2023-05-31T10:00:00+10:00;Turkey
AT;Niederösterreich;AT31401;48.0861110994664, 16.3022222;SO2;EEA Austria;µg/m³;1.75;2023-08-10T04:00:00+10:00;Austria
IN;;Najafgarh, Delhi - DPCC;28.570173, 76.933762;SO2;caaqm;µg/m³;0.9;2022-10-31T10:45:00+10:00;India
FR;;FR20019;45.7583572550156, 4.88621530806415;NO2;EEA France;µg/m³;47.7;2022-03-28T10:00:00+10:00;France
FR;Hérault;FR08023;43.4068171797127, 3.18880366295611;O3;EEA France;µg/m³;82.3;2023-08-10T07:00:00+10:00;France
CL;;Quilicura;-33.365775677885, -70.748288055225;PM10;Chile - SINCA;µg/m³;134.5;2016-04-28T02:00:00+10:00;Chile
DE;Nordrhein-Westfalen;DENW189;51.260681, 7.147401;NO;EEA Germany;µg/m³;17.047;2023-07-13T15:00:00+10:00;Germany
ES;Madrid;ES1807A;40.3585299994699, -3.54414;NO2;EEA Spain;µg/m³;47.0;2023-08-10T07:00:00+10:00;Spain
ES;Constantí;Constantí;41.15493, 1.2177014;NO;catalonia-mediambient;µg/m³;1.0;2023-08-10T07:00:00+10:00;Spain
GR;ΣΤΕΡΕΑ ΕΛΛΑΔΑ;GR0110R;38.37524796, 23.11026764;O3;EEA Greece;µg/m³;56.0;2023-08-10T10:00:00+10:00;Greece
GB;St Osyth;St Osyth;51.77798, 1.049031;PM10;DEFRA;µg/m³;9.0;2023-08-10T10:00:00+10:00;United Kingdom
CA;;Warfield Elementary;49.0952, -117.7469;SO2;AirNow;ppm;-0.0027;2023-08-09T11:00:00+10:00;Canada
ES;Cádiz;ES0712A;36.1753799994879, -5.48083;PM10;EEA Spain;µg/m³;47.25;2023-08-10T06:00:00+10:00;Spain
US;WASHINGTON;Blair;41.550658, -96.146622;PM2.5;AirNow;µg/m³;6.0;2022-05-25T10:00:00+10:00;United States
US;Richmond;Richmond City Near R;37.59088, -77.46925;PM2.5;AirNow;µg/m³;4.9;2022-05-26T00:00:00+10:00;United States
SE;Stockholm;Lilla Essingen (E4/E20);59.32551867, 18.00396061;NO2;Stockholm;µg/m³;-99.0;2020-12-12T00:00:00+10:00;Sweden
FR;;FR09019;46.3295859994638, -0.45888899999999994;PM10;EEA France;µg/m³;17.4;2020-01-22T16:00:00+10:00;France
DE;Hessen;DEHE050;51.360755000000005, 9.271233;NO;EEA Germany;µg/m³;0.3742142;2023-07-13T15:00:00+10:00;Germany
ZA;West Coast;Saldana Bay;-33.001108, 17.944911;NO2;South Africa;ppm;0.006683;2022-08-04T16:00:00+10:00;South Africa
HU;EMI mobil 1;EMI mobil 1;47.931903, 21.036042;CO;hungary-nms;µg/m³;162.0;2023-08-09T10:00:00+10:00;Hungary
IN;;Deen Dayal Nagar, Sagar - MPPCB;23.8640158, 78.80289321;SO2;caaqm;µg/m³;7.73;2022-10-17T01:45:00+10:00;India
TR;Hatay;Hatay - AFAD Büyükdalyan Konteyner Kenti;36.2983400818933, 36.197902682209;SO2;Turkiye;µg/m³;23.298;2023-05-06T03:00:00+10:00;Turkey
CZ;Moravskoslezský;CZ0TFMI;49.67179107666019, 18.3510704040527;PM10;EEA Czech Republic;µg/m³;9.6;2023-08-10T06:00:00+10:00;Czech Republic
US;Salt Lake City;Hawthorne;40.733501, -111.871696;NO;AirNow;ppm;0.001;2023-05-31T09:00:00+10:00;United States
TW;新竹縣;Zhudong;24.740644, 121.088903;NO2;Taiwan;ppm;0.0047;2021-05-17T15:00:00+10:00;Taiwan, China
US;MAYAGUEZ;Mayaguez 59;18.214167, -67.144167;O3;AirNow;ppm;0.025;2022-12-05T23:00:00+10:00;United States
US;Las Vegas-Paradise;Sunrise Acres;36.163962, -115.11393;CO;AirNow;ppm;0.1;2023-05-31T09:00:00+10:00;United States
DE;Thüringen;DETH061;50.791616, 11.661233;NO2;EEA Germany;µg/m³;1.91250002;2023-08-01T07:00:00+10:00;Germany
PL;Pułtusk;Pułtusk, ul. Adama Mickiewicza 36;52.703591, 21.072603;PM2.5;GIOS;µg/m³;11.0;2023-06-15T09:00:00+10:00;Poland
TH;Prachuap Khiri Khan;Hua Hin Weather Station Prachuap Khiri Khan Meteorological Station;12.577835, 99.953663;NO2;Air4Thai;ppm;0.005;2022-10-10T06:00:00+10:00;Thailand
TH;;Bangkok University R;14.03742, 100.605216;PM10;AirNow;µg/m³;32.0;2023-05-31T10:00:00+10:00;Thailand
TR;Hatay;Hatay - İskenderun;36.7141403795385, 36.2239186822096;O3;Turkiye;µg/m³;140.815;2023-05-23T03:00:00+10:00;Turkey
AT;Steiermark;AT60141;47.358888888354, 15.1036111111111;PM10;EEA Austria;µg/m³;6.5516591;2023-08-10T04:00:00+10:00;Austria
PE;Lima;VILLA MARIA DEL TRIUNFO;-12.166389, -76.92;PM2.5;Senamhi;µg/m³;19.12;2023-06-15T10:00:00+10:00;Peru
ES;Santa Coloma de Gramenet;Santa Coloma de Gramenet;41.447422, 2.209497;NO;catalonia-mediambient;µg/m³;1.0;2023-08-10T07:00:00+10:00;Spain
HK;Kowloon;Kwun Tong;22.3133333333333, 114.224722222222;PM10;Hong Kong;µg/m³;57.5;2023-05-31T10:00:00+10:00;Hong Kong, China
US;Portland-South Portland-Biddeford;Portland - Deering O;43.660248, -70.268967;NO;AirNow;ppm;0.0002;2023-05-31T09:00:00+10:00;United States
ES;Sevilla;ES1654A;37.9943499994788, -5.66687;NO2;EEA Spain;µg/m³;5.0;2023-08-10T07:00:00+10:00;Spain
AT;Kärnten;AT0VOR1;46.6786111105753, 12.974444444444398;CO;EEA Austria;µg/m³;172.854;2023-08-10T04:00:00+10:00;Austria
GB;Greenwich;Greenwich - Trafalgar Road (Hoskins St);51.4839072533485, 0.000407396935849736;NO2;London Air Quality Network;µg/m³;32.0;2023-08-10T10:00:00+10:00;United Kingdom
US;Cedar Rapids;COGGON;42.2806, -91.5269;O3;AirNow;ppm;0.079;2023-05-31T09:00:00+10:00;United States
ES;Gipuzkoa;ES1494A;43.322777769464, -1.96027777;PM10;EEA Spain;µg/m³;20.0;2023-08-10T07:00:00+10:00;Spain
MX;JALISCO;Vallarta;20.68, -103.398333;PM10;AirNow;µg/m³;25.0;2023-08-09T00:00:00+10:00;Mexico
HU;Budapest Csepel;Budapest Csepel;47.40444, 19.09083;PM10;hungary-nms;µg/m³;21.0;2023-08-10T06:00:00+10:00;Hungary
SK;Bratislavský kraj;SK0001A;48.1250189994665, 17.125611;PM10;EEA Slovakia;µg/m³;14.038;2023-05-31T13:00:00+10:00;Slovakia
ZA;Nkangala;Kwazamokuhle;-26.138269, 29.7389005;NO;South Africa;ppm;-0.000469;2023-05-30T07:00:00+10:00;South Africa
CL;Viña del Mar;Viña del Mar;-33.020419817382, -71.550092842922;O3;Chile - SINCA;µg/m³;0.0;2017-06-29T01:00:00+10:00;Chile
TH;Amnat Charoen;Amnat Charoen Clock Tower;15.863523, 104.627401;CO;Air4Thai;ppm;1.22;2023-01-26T11:00:00+10:00;Thailand
CA;BRITISH COLUMBIA;Coquitlam;49.28806, -122.79139000000002;NO;AirNow;ppm;0.0016;2023-08-10T09:00:00+10:00;Canada
ES;Castellón/Castelló;ES1877A;39.9452777694712, -0.056388879999999995;NO2;EEA Spain;µg/m³;3.0;2023-08-10T07:00:00+10:00;Spain
US;Ardmore;Healdton;34.256901, -97.474197;PM2.5;AirNow;µg/m³;11.2;2023-05-31T09:00:00+10:00;United States
CA;PRINCE EDWARD ISLAND;CHARLOTTETOWN;46.2406, -63.1306;SO2;AirNow;ppm;0.0001;2023-08-10T09:00:00+10:00;Canada
AT;;Stixneusiedl;48.05085819034646, 16.676684260508445;O3;EEA Austria;µg/m³;44.0;2016-12-12T19:00:00+10:00;Austria
US;Scranton--Wilkes-Barre;Scranton;41.4428, -75.6231;O3;AirNow;ppm;0.043;2023-05-31T09:00:00+10:00;United States
TR;Uşak;Uşak-Trafik (Yeni);38.6731058118713, 29.406195364418;NO2;Turkiye;µg/m³;41.52;2023-05-30T20:00:00+10:00;Turkey
DE;Brandenburg;DEUB030;53.141303, 13.031662;O3;EEA Germany;µg/m³;39.76;2023-08-01T05:00:00+10:00;Germany
GB;Stockton-on-Tees;Stockton-on-Tees Eaglescliffe;54.516667, -1.358547;PM10;DEFRA;µg/m³;10.0;2023-08-10T10:00:00+10:00;United Kingdom
CH;;CH0016A;47.4781951524703, 8.36436632403517;NO2;EEA Switzerland;µg/m³;10.2542;2018-01-08T23:00:00+10:00;Switzerland
US;San Luis Obispo-Paso Robles;SLO Roberto;35.259473, -120.644493;PM2.5;AirNow;µg/m³;16.0;2022-05-25T08:00:00+10:00;United States
IN;;Punjab Agricultural University, Ludhiana - PPCB;30.902800000000003, 75.8086;PM2.5;caaqm;µg/m³;98.69;2022-10-31T12:00:00+10:00;India
TR;Zonguldak;Zonguldak - Kozlu;41.449829, 31.769504;NO2;Turkiye;µg/m³;13.811;2023-05-31T10:00:00+10:00;Turkey
CL;Quillota;San Pedro;-32.937001, -71.273726;O3;Chile - SINCA;µg/m³;30.09;2021-08-21T00:00:00+10:00;Chile
DE;Hamburg;DEHH008;53.564139999999995, 9.967882;PM2.5;EEA Germany;µg/m³;5.425;2023-07-14T20:00:00+10:00;Germany
US;Santa Barbara-Santa Maria;Santa Barbara;34.42775, -119.69091;PM10;AirNow;µg/m³;10.0;2023-05-31T09:00:00+10:00;United States
NL;Ridderkerk;Ridderkerk-Hogeweg;51.8694, 4.58006;PM2.5;Netherlands;µg/m³;3.1;2023-08-10T09:00:00+10:00;Netherlands
